,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
0,株式会社ワット・コンサルティング | 大阪府緊急雇用対策に賛同★未経験向け研修カリキュラム期間No.1,未経験から手に職をつける【CAD事務】オフも大切にできる環境★ 正社員,正社員,【土日祝休み・残業少なめ】2ヶ月間の研修からスタート！“事務＋CADスキル”を学んで、街づくりを支えるお仕事です♪　★20代女性が活躍中！,【未経験歓迎・第二新卒歓迎】◆35歳以下の方 ★8割以上の先輩が未経験スタート ★給与を受け取りながら、充実の研修でスキルがつけられます！,宮城県、東京都、千葉県、埼玉県、神奈川県、茨城県、栃木県、群馬県、大阪府、愛知県で大募集！ 当社は…,"月給185,000〜230,000円＋住宅手当＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※住…"
1,株式会社ワット・コンサルティング | 大阪府緊急雇用対策に賛同★未経験向け研修カリキュラム期間No.1,日本を代表する建造物を手掛ける【街づくりコーディネーター】 正社員,正社員,【2ヶ月の研修からスタート】六本木ヒルズ・あべのハルカス・赤坂サカス・羽田空港・新国立競技場etc…アイコン施設を築いてきた実績豊富な会社！,【20代・30代活躍中／未経験歓迎】◆35歳以下の方 ★9割以上の先輩が未経験スタート ★毎月新入社員が入社。同期＆同世代の仲間と出会える♪,☆★全国募集！好きな街に配属！あなたの希望をお聞きします★☆ 北海道・東北・関東・東海・関西・中国…,"月給195,000〜240,000円＋住宅手当＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※住…"
2,Ｓｋｙ株式会社 | ＜社員定着率95％※2020年3月期＞,【自社パッケージ商品のプリセールス】 正社員,正社員,■『SKYSEA Client View』『SKYMENU』シリーズをはじめとする自社パッケージ商品の提案支援・導入サポート・アフターサポートなどをお任せします。,■「パッケージ導入／プリセールス／カスタマーサポート等の経験」または「ネットワーク・サーバの基礎知識」をお持ちの方（学歴不問）,東京、名古屋、仙台、福岡の各拠点 【勤務地】 ■東京(東京都港区港南2丁目16番1号　品川イースト…,"月給23万2千円以上（30歳以上で入社した場合：29万6千円以上） ※一律住宅手当15,000円を含みます。 なお…"
3,日本セーフティー株式会社 | 家賃保証サービスのリーディングカンパニー※年間休日127日！,業界大手で活躍！【提案営業】※未経験歓迎／土日祝休み 正社員,正社員,【ニーズ拡大中の自社サービスを提案する営業です】不動産会社やオーナー様に向け、自社の家賃保証サービスをご案内するお仕事です。,【未経験・第二新卒歓迎】◎高卒以上 ◎社会人経験・転職回数・男女不問！フリーターから社会人デビューを目指す方も歓迎！★20代・30代活躍中！,ご希望を考慮し、いずれかの事業所へ配属。 【本社】 ◆大阪／大阪市西区江戸堀 ◆東京／東京都港区芝…,【総合職】 ◆月給23万円〜25万円（一律業務手当含む）+インセンティブ ※上記金額には、固定残業代30時…
4,DSP株式会社 | ★土日休み ★完全週休2日 ★年間休日125日～130日,◆経験者は前給UPを保証！【人材コーディネーター】※高卒以上 正社員,正社員,【裁量大きく、自由度高く活躍！】人材コーディネーターとして新規クライアントの拡大と登録スタッフ増員をお任せしていきます。,【人材業界経験をお持ちの方をとことん優遇！】※求人広告営業、人材派遣、人材紹介、人材コンサルティング等の経験をお持ちの方は優遇いたします。,【東京・大阪・北海道・宮城・福岡のいずれかで勤務】 ★転勤なし！ 【本社】 東京都港区西新橋1-6…,"月給／30万円〜 ＋ インセンティブ ★""前職の給与以上""を保証します。 　そこに経験・能力等を考慮し加給…"
5,株式会社ライジングサンセキュリティーサービス | 人物重視★応募者全員と面接します！／20～60代活躍中★,福島限定【警備】人の力で東北エリアを盛り上げよう！*月給28万~ 正社員,正社員,【福島県内主要駅周辺オフィスビル、商業施設、金融機関等の警備】★無理のないシフト★資格取得支援あり★成果は報酬に還元★バス・トイレ付の寮完備,【未経験者歓迎／年齢を気にせず応募可能／学歴・年齢不問】★担当施設へ直行直帰もOK！★人柄・意欲重視の採用！応募者全員とお会いします！,★福島エリアの各施設または下記支社★ ※転居を伴う、転勤はありません！ ※希望を考慮の上、配属を決…,月給28万円以上 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。 ■…
6,株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ,全国47都道府県で採用！【設計アシスタント】★転勤なし 正社員,正社員,高級マンション/ランドマーク/重要文化財のお城…など街を象徴する建物～道路・プラント等の図面作成や設計を行います！,【CADスキルを存分に発揮！】★学歴不問★CADの基本的な操作スキルがある方 ◎ブランクがある方・第二新卒歓迎 ▼▼Web面接実施中▼▼,【転勤なし！希望の勤務地で働けます！】 47都道府県の好きな街が勤務地です。 <各拠点> ◆札幌支…,月給19万6000円以上+地域手当(最大5万1000円)+皆勤手当(1万円) ※上記給与は最低支給額です。 　前職給…
7,アマゾンジャパン合同会社 | 〔月給25万円以上〕〔転勤なし〕〔想像以上に？面白い？仕事〕,Amazonの安全性を守る【リスク調査官】※仙台勤務・経験一切不問 正社員,正社員,【まるで探偵のような仕事!?】Amazonをお客様に安心してご利用頂くために、一部の利用者による不正行為や迷惑行為の調査・取締を行う仕事です。,【異業種の方も歓迎！】☆TOEIC650点程度の英語力があれば尚良し！★U・Iターンもお待ちしています ★私服勤務OK,【転勤なし】宮城県仙台市（JR線「仙台駅」より徒歩約9分） UIターンも歓迎！ ＜住所＞ 宮城県仙…,月給25万円〜35万円 ※経験・能力・前職の給与等を考慮し優遇 ※残業代別途支給 ※試用期間3カ月／待…
8,株式会社グラスト | ★土日祝休み ★年間休日124日 ★20代男性活躍中,【キャリアコンサルタント】★未経験歓迎 ★管理職の70%が20代 正社員,正社員,【研修充実／早期キャリアUP】◆人材不足にお悩みの企業様を訪問し、ヒアリング。課題を確認し、企業様ごとに最適な解決方法を提案します。,【未経験・第二新卒歓迎／学歴不問】＜こんな方は大歓迎！＞★人材業界に興味がある方 ★キャリアアップ志向がある方 ★『人と話す』ことが好きな方,※転勤なし/希望を考慮 ※北海道/仙台/東京/横浜/大阪/難波/天神/宮崎/那覇の各拠点 ★東京・…,月給25万円〜50万円 ※あなたの年齢・経験・能力を考慮のうえ、優遇いたします。(エリアにより規定あり）…
9,株式会社ネクストビート | 『保育士バンク！』など自社メディアを運営／地方拠点を積極採用,“IT×社会課題解決”を目指す！【提案営業職】◆月給30万円～ 正社員,正社員,《反響スタイルで法人・個人の双方へアプローチ》ライフイベント・地方創生・グローバルの領域で、課題解決のための幅広い提案営業をお任せします。,《第二新卒・営業未経験歓迎／人柄・意欲重視の採用》◆大卒以上　☆成果を正当に評価＆好環境で裁量大きく活躍できます！,東京・札幌・仙台・名古屋・大阪・京都・広島・福岡・石川で大募集！ ☆引っ越し代全額負担 ☆UIター…,"★月給30万円以上 ※経験や能力を考慮し、決定致します。 ※上記には固定残業代（月40時間分／71,430円…"
10,株式会社アクロビジョン | やりたいことの実現を徹底サポートする《社員ファースト企業》,【インフラ/開発エンジニア】★経験者優遇★単価高還元★WEB面接 正社員,正社員,システム開発やAWS等クラウド案件、幅広いプロジェクトからスキルや希望を考慮して決定します！☆スキルチェンジも可能 ☆残業月16H以下 ☆年休129日,＜経験者優遇！単価還元率は70～80%！早期キャリアUP可能！＞◎独学の方もOK ◎常駐単価と還元率を公開中！クリアな評価制度 ★社宅、在宅手当あり,北海道/宮城/東京/神奈川/千葉/埼玉/愛知/大阪/京都/兵庫/広島/福岡 上記から希望勤務地をお…,【経験者】 月給：24〜50万円（拠点を問わず） ※経験やスキルを考慮の上、優遇します ※研修期間中（最…
11,アフラック保険サービス株式会社 | ★入社1年で営業所長も★年休126日以上★6月に仙台支社開設,【アフラック・コンサルタント（AC）】★ノルマ一切なし！ 正社員,正社員,＜入社～1年間の手厚い研修・フォロー体制あり＞●保険の見直しや新規契約を考えるお客様1人1人に合った保障をオーダーメイドで提案する仕事です。,＜未経験・第二新卒歓迎＞◆高卒以上◆前職・業界不問《異業種出身の先輩が多数》★やりがい、働きやすさ、どちらも揃った環境が魅力！,★転勤なし！ ★U・Iターン歓迎！ 東京、神奈川、愛知、京都、大阪、広島、福岡、宮城の各事業所 【…,月給25万円〜30万円＋インセンティブ+賞与（年4回） ※前職の経験・能力を考慮の上、当社規程により決定…
12,日本セーフティー株式会社 | ★24年連続増収増益企業／完全週休2日／年休127日以上／好待遇,安定基盤のもと、長く活躍できる【債権管理営業】※未経験者歓迎 正社員,正社員,家賃を滞納されている入居者の方に対して入金をご案内。★状況を伺い、入金を習慣化できるようカウンセリングを行う「債権管理業務」をお任せします。,【業界・職種未経験者、第二新卒者歓迎！不動産業界に関する経験・知識がなくてもOK！】◆高卒以上◆要普通免許(AT限定可),東京／大阪／札幌／仙台／埼玉／横浜／新潟／静岡／名古屋／京都／神戸／岡山／広島／松山／福岡／盛岡／…,月給25万3500円＋インセンティブ ※上記、月30時間分のみなし残業手当（4万7700円）を含み、 超過時間分…
13,株式会社竹中道路 | ＜竹中工務店グループ＞新宿駅前や高速道路なども手掛けています,【道路施工管理】未経験歓迎★昨年賞与実績平均5.5ヵ月分 正社員,正社員,【国交省などの官公庁案件6割／残業時間はWebで管理】施工管理の安全・品質・工程・原価管理　※1現場につき当社の施工管理スタッフ3名体制も,【未経験・第二新卒・ブランクがある方も歓迎】◆高卒以上 ◆要普免（AT限定可）※土木施工管理技士の資格・経験がある方は優遇します！,全国各地の施工場所に近い現場事務所にて勤務いただきます。 宿舎は勤務地から近いエリアに当社がご用意…,月給23万円〜（大学院・大学卒） 月給21万円〜（短大・高専・専門卒） 月給19万円〜（高卒） ※上記に加…
14,株式会社エーシーネクスト | 未経験者22.5万円／経験者25万円／幹部候補40万円からのスタート,≪賞与年4回・直行直帰OK・面接1回≫【エコ商品のPRスタッフ】 正社員,正社員,★研修・サポート体制充実★【飛び込み・テレアポなし／直行直帰可！】アポイントのあるお客様宅に訪問し、商品のご説明等をお任せします。,《未経験者から経験者、幹部候補まで幅広く募集中！》意欲・人物重視の採用！20～40代の男性が活躍中◎要普免 ◎明るく元気に仕事に取り組める方,【UIターン歓迎！】 <営業>仙台支店・秋田支店 <幹部候補>仙台支店・盛岡支店 【仙台支店】 宮…,"◆営業経験者(経験年数不問) 月給250,000円+賞与年4回(3ヶ月に一度／実績に応じて支給) ※月給には見込み…"
15,HITOWAライフパートナー株式会社 | CMでお馴染み「おそうじ本舗」を運営する急成長企業！,【営業総合職(加盟店開発/加盟店支援/法人営業/人材紹介)】 正社員,正社員,加盟店開発、加盟店支援（SV）、法人営業、人材紹介の中で、ご経験やご希望を考慮の上配属いたします。,＜未経験歓迎！＞◆学歴不問◆20代・30代活躍中！◆スキルアップを目指す方、事業の成長に前向きに取り組んでいただける方は歓迎です！,《以下いずれかへ勤務していただきます。U・Iターン歓迎です！》 ※勤務地は希望を考慮します。 ※高…,"月給27万円〜40万円 ※見込み残業代30時間分／5万400円〜7万4,600円を含む(超過分は別途支給) ※経験・年…"
16,株式会社ワット・コンサルティング | 大阪府緊急雇用対策に賛同★未経験向け研修カリキュラム期間No.1,日本建築を支える【サポートスタッフ】同期と2カ月研修★土日休 正社員,正社員,【学校レベルの研修から！iPadミニ・PC貸与で在宅研修】六本木ヒルズ・赤坂サカスなど有名な建物実績！作業状況のチェックなどサポート業務をお任せ。,【10名単位の同期と安心の研修制度】未経験・第二新卒歓迎 ◎35歳以下★9割以上の先輩が未経験スタート＆8割が文系出身★家具家電付き単身寮も完備♪,☆★全国募集！好きな街に配属！あなたの希望をお聞きします★☆ 北海道・東北・関東・東海・関西・中国…,"月給195,000〜240,000円＋住宅手当＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。 ※住…"
17,エスシーエスピー株式会社 | 【東証一部上場セントラル警備保障グループ】*駅チカ案件多数♪,【施設警備・受付】*未経験歓迎*月8～9日休み*賞与年2回* 正社員,正社員,【社内研修からスタート！】◆東京都内の商業施設やオフィスビル、東京都内の駅構内での警備業務をお任せ◆屋内業務がメイン＆力仕事なし,【未経験・第二新卒歓迎/学歴不問/20～30代活躍中】◆「未経験から頑張りたい」「ブランクから復帰したい」≫≫ぜひご応募ください！★面接1回！,【転居を伴う転勤なし／U・Iターン歓迎】 ◆東京都内の駅構内 ◆東京都・千葉県・埼玉県エリアの商業…,月給20万7600円〜 ＋ 各種手当 ＋ 賞与年２回（昨年実績3.3ヶ月分） ※あなたの経験・スキルを考慮の上、…
18,株式会社ホームネット | 【未経験者大歓迎】*業績好調につき10名以上募集*20～30代活躍中,リノベーション物件を扱う【企画営業】*全国募集*月給27万も可能 正社員,正社員,【充実の研修制度で未経験から着実に成長！】◆リノベーションの企画・施工後の販売などをお任せ！★残業は極力しない方針⇒メリハリのある生活を実現,【学歴不問／第二新卒歓迎】◆「住宅やインテリア、リフォームなどに興味あり！」でも応募OK！※宅建の有資格者は優遇(毎月の手当支給あり)！,＼東京積極採用中！／ ★勤務地は希望や住居を考慮 ★東京・名古屋・仙台・広島の拠点で募集！ ■本社…,固定給制　月給23万〜27万円 ◎経験・スキルなどを考慮の上決定します。 ◎試用期間は3か月あり、その間…
19,JAGフィールド株式会社 | 東証一部上場G・キャリアチェンジで生涯現役！オンライン面接可,【施工管理】従業員満足度業界No.1企業で活躍する！ 正社員,正社員,【定着率は９割！】規模もジャンルも様々な建設プロジェクトで施工管理として活躍を！「生涯のキャリア」を考えた業務内容のシフトも可能です！,【40代を超え、生涯のキャリアを考えた転職を歓迎！】※学歴・転職回数・前職の雇用形態すべて不問！◆ジャンル問わず、何らかの施工管理経験者,全国47都道府県のプロジェクト先、またはオフィス ＜事業拠点＞ ◆東北支店 仙台市青葉区花京院1-…,月給37万5000円以上 ※経験・年齢・能力などを考慮して、給与額を決定します。 ※上記金額は40時間分の固…
20,株式会社エストゥルース | 【業界のイメージを一新】★土日祝休み ★ノルマ・飛び込みなし,【不動産営業】未経験から、予想以上の年収UPが叶っちゃう！ 正社員,正社員,【残業はほとんどありません！】◆お客様に投資用不動産(ワンルームマンション)を提案 ★チームであなたを育てます！手厚いサポートで圧倒的な成長を,【20代活躍中】＼不動産の知識一切不要／アパレル販売やルート営業など、異業種から入社した先輩多数！未経験入社3ヶ月で月収100万円を記録した先輩も,★転勤なし ★東京（渋谷駅徒歩10分圏内）と仙台（立ち上げメンバー：2020年10月26日開設）で…,【大卒以上】月給25万円以上＋諸手当＋インセンティブ（最大100万円） 【上記以外】月給23万円以上＋諸手…
21,朝日ソーラー株式会社 | ★月給32万円以上（試用期間中）★魅力的なインセン,【営業職】10月1日より完全週休2日制を導入しました！ 正社員,正社員,"【 太陽熱温水器メーカーの先駆け的存在！ 】自社商品の提案業務をお任せします ※丁寧な研修で2,3ヶ月後にはほぼ全員が月10台前後売れるまでに成長！",【未経験者／高収入を目指したい方歓迎！】◎学歴・年齢不問！異業種出身者も大勢活躍中！ゼロからでも安心してご応募ください。,【9月に宮崎支店を開設しました！】 東京、大阪、愛知、福岡、広島、宮城、群馬、愛媛、熊本、大分、長…,■月給29万円以上+歩合給(販売台数・商品による)＋報奨金＋諸手当 ※3ヶ月間の試用期間あり【月給34万円…
22,積水ハウス不動産東北株式会社 | ◆年休129日／完全週休2日制／資格取得支援,「東北6県の全拠点」で事業拡大による増員！【売買仲介営業】 正社員,正社員,【反響営業メイン／直行直帰OK／地域屈指の物件情報数！】■法人・個人顧客共に不動産売買仲介をお任せします。■仕事は個人裁量で！,【20～40代の男性活躍中！】■短大卒以上 ■要普免（AT限定可）■不動産営業の経験（3年以上）◇宅建保有者は歓迎します！,【東北6県各営業所での募集】 ●宮城県仙台市 ●福島県福島市／郡山市／いわき市 ●山形県山形市 ●…,月給23万9500円以上＋賞与年3回＋諸手当 ※経験・スキルを考慮します。 ※別途インセンティブ支給 ※別途…
23,株式会社日本エコライフ | 《ハワイでの研修等、ユニークな制度があります！》☆残業少なめ,未経験者大歓迎！【総合職】☆研修充実　☆異業種出身も活躍中 正社員,正社員,【手厚いサポートのある環境でイチからスタート】希望や適性を考慮のうえ、「サプライヤー」「クローザー」のいずれかをお任せします。＜研修充実◎＞,【人柄を重視◎未経験・第二新卒・正社員デビューの方も大歓迎！】☆元フリーター、アルバイトなどの方も活躍中☆新しいチャレンジがしたい方は大歓迎,【マイカー・社有車通勤OK／U・Iターンも歓迎！】 《本社》 宮城県仙台市青葉区本町2-2-3 鹿…,月給：21万円〜50万円 ＋ 歩合 ＋ 各種手当 ※経験や能力に応じて、当社規程により優遇いたします。 ※試…
24,楽天モバイル株式会社 | 多岐に渡る分野で70以上のサービスを提供する楽天のグループ会社,【オペレーター】新規コールセンターで大規模採用/年間休日125日 正社員,正社員,新規コールセンターにてオペレーターとしてカスタマーサポート業務(受電・事務など)をお任せします。,高校卒業以上。経験者・未経験者共に歓迎いたします。,宮城県仙台市青葉区中央1-6-28メットライフ仙台駅前ビル,月給21万3750円 ※試用期間3か月(条件変更なし)
25,アトランティス | 《老舗ダイビングショップ》☆東京、仙台、2店同時募集中！,遊びが仕事で 仕事が遊び【ダイビングインストラクター】 正社員,正社員,★ダイビングライセンス発行 ★国内海外リゾートツアーの企画と引率 ★ウエットスーツ等、ダイビング器材の販売,【未経験歓迎】◎未経験でも夢を叶えたい方を応援！（資格取得支援制度あり！） ◎旅行好きな方◎自分も遊びながら働きたい方,◎東京店（銀座）、仙台店 ◎面接は東京と仙台の各店舗で実施します 【東京店】 ●東京都中央区銀座1…,"◆東京店／月給：300,000円〜350,000円　+歩合 ◆仙台店／月給：250,000円〜300,000円　＋歩合"
26,雄健工業株式会社 | 【大阪府緊急雇用対策に賛同】★「国土交通大臣認定メーカー」,立体駐車場メーカーの【法人営業】★未経験歓迎★土日祝休み 正社員,正社員,【既存取引先が8割超！】商業施設や病院、空港などに建てる「自走式立体駐車場」をゼネコンや設計事務所、大規模店舗チェーンなどに企画提案します,【未経験・第二新卒、歓迎！】※業界経験は一切不問！※営業はもちろん、人と接する仕事の経験が活かせます！★転勤ナシ！★土日祝休のメリハリ勤務！,★転勤なし ★U・Iターン歓迎 全国募集【東京・仙台・大阪・名古屋・福岡・熊本・沖縄】 ※勤務地は…,月給25万円〜40万円 ＋ 諸手当【残業手当支給など】＋ 賞与年2回 ※年齢、経験、能力を考慮の上、優遇い…
27,株式会社九州ハイテック | 【 17期連続売上拡大中！大手企業との取引多数で安定経営！】,★年休124日/土日祝休/未経験歓迎★ 特許商品を扱う【法人営業】 正社員,正社員,【 ノルマなし！国際特許を取得したオンリーワン商品だからオススメしやすい！ 】お客様に感動を与える商品・サービスを提案して頂きます。,【応募条件】◎35歳までの方 ◎男女不問 ◎要普免　★未経験歓迎！専門知識や営業スキルは入社後でOK！ 元調理師、アパレル関係の方も活躍中♪,《 第二新卒歓迎！UIターン歓迎！》 希望を考慮し、東京、長野、名古屋、大阪のいずれかへ配属します…,月給23万円〜50万円 ＋ 諸手当 ※上記はあくまで最低給与額です。 　年齢・経験を考慮し決定いたします…
28,株式会社アウトソーシングテクノロジー | SS事業本部ｌWEB面接OK／土日祝休み／残業少なめ／転勤なし,未経験OK！RPA・AI・インフラなど最新技術あり【ITエンジニア】 正社員,正社員,＜最新技術・RPAに携われる＞★注目の最先端技術を扱うエンジニアへ成長 ◆経験者は希望するプロジェクトで活躍！未経験者・経験の浅い方は研修から！,＜学歴・年齢・文理・経験不問＞★ITプロジェクトでの業務経験がある方（分野不問）※未経験者・経験の浅い方も意欲重視の積極採用中です！,＜転勤・転居なし★お住まいからの通勤圏内！＞ ◆東京都千代田区丸の内1-8-3 丸の内トラストタワ…,"◆経験者：月給30万円〜78万円＋各種手当・報奨金 ※上記金額は35時間の固定残業代（月64,015円〜166,425…"
29,株式会社ネクスコ・エンジニアリング東北 | 【残業月平均26時間・年間休日125日・賞与平均4.9ヶ月分】,【土木系技術職】※東北エリア限定募集・UIターン歓迎！ 正社員,正社員,【社会のインフラを支えるやりがいのある仕事です！】◎東北地方の高速道路約1400kmの土木構造物の「保全管理(点検)」「施工管理」「調査・計画」等,【保全管理(点検)、施工管理、調査・計画いずれかの経験者】◎学歴不問 ◎要普通免許（AT限定可）◎有資格者優遇あり(詳細資格は本文を参照),青森県・岩手県・秋田県・宮城県・山形県・福島県の16事業所、または本社のいずれか ※配属先は経験や…,"月給：188,000円〜　＋各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。"
30,株式会社ネクスコ・エンジニアリング東北 | 【残業月平均26時間・年間休日125日・賞与平均4.9ヶ月分】,【電気・通信・機械職】※東北エリア限定募集・UIターン歓迎！ 正社員,正社員,【点検・計画・工事・設備監視などをローテーションで担当します】東北エリアで約1400kmの高速道路の安全を守る、やりがいのある業務です！,【電気工事・設備工事いずれかの経験者】◎学歴不問 ◎要普通免許（AT限定可）◎協調性を持ち、積極的な姿勢で仕事に臨める方を歓迎します！,青森県・岩手県・秋田県・宮城県・山形県・福島県の16事業所、または本社のいずれか ※配属先は経験や…,"月給：188,000円〜 + 各種手当 ※経験・年齢を考慮の上、当社規定により優遇します。"
31,株式会社片平新日本技研 | ◆新東名や新名神、圏央道などの実績多数◆賞与4.0ヶ月以上,【建設コンサルタント総合職】道路・橋梁・交通・保全／技術職 正社員,正社員,＜官公庁案件多数＞◆高速道路や橋梁、交通、都市計画等の各種調査・計画・設計、道路点検・道路保全、更新計画、施工管理など★安心のチーム制,＜未経験者～経験者まで幅広く歓迎＞◆土木・建設系の学科を卒業された方◆高専・短大卒以上　◎経験者はスキルに見合った待遇でお迎えします！,東京本店、東北支店、名古屋支店、大阪支店、中国支店、福岡支店 【住所】 東京都文京区小石川2-22…,■大学院卒　　　月給25.9万円 ■大学卒　　　　月給25.1万円 ■高専・短大卒　月給24.3万円 ※上記は一…
32,日本情報クリエイト株式会社 | 東証マザーズ上場【IT×不動産のリーディングカンパニー 】,【総合職(セールスコンサルタント／システムアドバイザー)】 正社員,正社員,【 業界トップクラスのシェア／土日祝休み 】◎セールスコンサルタント(法人営業)または、システムアドバイザー(導入支援サポート)を担当。,★年休124日★【 第二新卒・業界未経験歓迎(不動産業界の経験・IT専門知識不問) 】◎男女・学歴不問 ◎20～30代の若手、異職種出身者が多数活躍中！,★初任地確約！/直行直帰も可能★ ＜セールスコンサルタント＞ 札幌・仙台・東京・埼玉・名古屋 大阪…,月給20万円〜35万円（一律手当含む） ※月間チームインセンティブあり （試用期間終了後、業績による） …
33,株式会社永昌堂印刷 | 《1913年創業の老舗広告企業》育休・産休の取得実績あり！,★未経験スタート歓迎【広告物の制作補助（写真素材管理など）】 正社員,正社員,【多様な広告を手がける総合広告会社】写真素材の管理・検索、撮影手配、紙面チェックなどの制作補助をお任せいたします◎未経験から成長できます,【年齢・学歴・経験不問】◆組織力強化のため、会社の中核を担う人材を募集 ◎賞与平均3.5ヶ月分支給(2019年度),転勤なし／U・Iターン歓迎 ◆東京支店／東京都中央区日本橋小舟町11-16 東京メトロ「人形町駅」…,本社／月給18.7万円〜21.7万円＋諸手当+賞与年2回（昨年実績3.5ヶ月分） ※経験・スキルを考慮し、上記…
34,豊通鉄鋼販売株式会社 | 【豊田通商グループ】★年間休日125日｜賞与年2回★,鋼材専門商社の【法人営業】※異業種からの転職者が多数活躍中 正社員,正社員,【既に取引のある顧客が中心】鋼材を必要とする企業に対しての提案営業。20～30代を中心に活躍中！豊田通商グループのノウハウが学べます。,◆大卒以上 ◆法人営業の経験がある方（経験年数・業界不問）◆社会人としての基礎力（基本的なPCスキル、ビジネスマナーなど） ◆要普通自動車免許,【名古屋駅より徒歩7分・UIターン歓迎】 ▼本社 愛知県名古屋市中村区名駅四丁目9番8号 センチュ…,"月給210,000円〜340,000円+諸手当 【 年収例 】 400万円〜600万円+残業手当など ※上記は残業手当を含ま…"
35,株式会社総合資格 | 業界トップクラスの実績／平均年収825万円／年間休日112日以上,☆未経験OK！人柄重視☆【提案営業】★昨年賞与実績5.46ヶ月 正社員,正社員,企業や大学、専門学校へ向けたガイダンスのご案内や、資格取得やキャリアアップを考える企業や学校へ向けて『総合資格学院』への入校提案など,【業界未経験者OK！】◎要普通免許 ◎何らかの営業経験のある方 ◎研修制度も充実していますので、経験に関わらず広く募集しています！,【希望勤務地を考慮し、配属いたします！】 北海道、東北6県、栃木県いずれかの教室 ☆希望勤務地は考…,"月給：300,000円〜330,000円 ※年齢、経験、能力を考慮の上、決定します。 ※固定残業手当（4万円〜／24…"
36,大日本コンサルタント株式会社 | 【東証二部上場】官公庁がクライアントなので安定感抜群！,福利厚生充実！まちづくりに幅広く携わる【営業職】 正社員,正社員,国土交通省などの官公庁等を訪問し業務の進捗状況の確認、今後のインフラ整備計画やニーズを調査し、実績を踏まえた提案を行います。,◆短大・専門・高専卒以上 ◆建設・土木業界での勤務経験(施工管理・建設コンサルタント・営業など不問)※ノー残業デー・プレミアムフライデーあり！,仙台市・さいたま市・富山市・名古屋市・大阪市・広島市・高松市・福岡市の拠点で募集中。 【東北支社】…,月給25万円以上＋各種手当 ※前職の年収、年齢や経験を考慮の上、決定します。
37,株式会社アスペイワーク | ☆年休120日以上／産休・育休実績あり／賞与年2回＋特別賞与！,志望動機は『興味がある』でOK！【総合職(コーディネーター等)】 正社員,正社員,【残業少なめ＆帰りにくい雰囲気ナシ！】■「人材コーディネーター」「事務」「営業」のいずれかをお任せ。■ご希望に応じてキャリアチェンジも可能！,【未経験・第二新卒歓迎／20～30代が中心となって活躍中！】■性別不問 ■高卒以上 ■35歳以下の方(※) ☆営業経験をお持ちの方は活かせます！,東京/九州の各拠点 ＜首都圏エリア＞ 新宿本社/東京都新宿区新宿3-3-9 新宿伍名館 8F ※東…,<首都圏エリア> 月給23万〜30万円 ※固定残業代（32時間相当分、5万7427円〜7万4976円）含む。時間超過分…
